e,E,s,k
kline,1703897021527,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189482, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '305.822', 'n': 400, 'x': False, 'q': '704737.37726', 'V': '158.946', 'Q': '366263.04317', 'B': '0'}"
kline,1703897021669,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030038, 'o': '313.980', 'c': '314.110', 'h': '314.160', 'l': '313.950', 'v': '410.43', 'n': 354, 'x': False, 'q': '128893.17100', 'V': '199.38', 'Q': '62617.28610', 'B': '0'}"
kline,1703897022239,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189484, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '305.890', 'n': 402, 'x': False, 'q': '704894.06762', 'V': '158.946', 'Q': '366263.04317', 'B': '0'}"
kline,1703897022491,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098134, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '19.448', 'n': 338, 'x': False, 'q': '820258.14880', 'V': '6.618', 'Q': '279116.38100', 'B': '0'}"
kline,1703897023133,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098135, 'o': '42181.40', 'c': '42173.60', 'h': '42181.40', 'l': '42171.70', 'v': '19.498', 'n': 339, 'x': False, 'q': '822366.82880', 'V': '6.618', 'Q': '279116.38100', 'B': '0'}"
kline,1703897023684,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189486, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '305.977', 'n': 404, 'x': False, 'q': '705094.53911', 'V': '158.946', 'Q': '366263.04317', 'B': '0'}"
kline,1703897023974,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030063, 'o': '313.980', 'c': '314.070', 'h': '314.160', 'l': '313.950', 'v': '458.39', 'n': 379, 'x': False, 'q': '143956.93800', 'V': '200.18', 'Q': '62868.54210', 'B': '0'}"
kline,1703897024111,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189488, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '306.858', 'n': 406, 'x': False, 'q': '707124.60965', 'V': '159.813', 'Q': '368260.85393', 'B': '0'}"
kline,1703897024712,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189490, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '306.904', 'n': 408, 'x': False, 'q': '707230.60616', 'V': '159.822', 'Q': '368281.59245', 'B': '0'}"
kline,1703897025228,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030076, 'o': '313.980', 'c': '314.100', 'h': '314.160', 'l': '313.950', 'v': '466.59', 'n': 392, 'x': False, 'q': '146532.47510', 'V': '208.38', 'Q': '65444.07920', 'B': '0'}"
